hash,gasPrice,gasUsed,calls,unknownCalls,classifiedCalls,classifiedActions,compactedProviders,type,status,profit

0x8305be032131db3aebf16c12be7745b121e1c12d772aa84962a4ba63282fdcd8,1,21,1,1,0,0,,,,0
0x3a322b82c42ea9fb7ab2b5fd336cff2bcc0cab9a8710a347dc57071295eb1139,1085.7551,63,13,0,13,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,-1.9754
0xe17e7170675bad8987a0f888a5c082ec7f0de1685ca95be664549fc22ab892c6,1039.7485,21,1,1,0,0,,,,0
0xec423a81daaf9436d359f967dc56bf17e7f539270b489470eaa140b7d379b52a,588.8,177,15,15,0,0,,,,0
0x9b08b7c8efe5cfd40c012b956a6031f60c076bc07d5946888a0d55e5ed78b38a,497.9978,152,18,16,2,2,UNISWAP(2),ARBITRAGE,CHECKED,0
0x52311e6ec870f530e84f79bbb08dce05c95d80af5a3cb29ab85d128a15dbea8d,256,22,4,0,4,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0x300e336026374c9f72fe416f47fdee3677cd337d7dd23a6fb5b8093b1b33ebea,232,103,7,0,7,1,SUSHISWAP,,,0
0xac74348dc319b6bca470d7eba4900ad4449d595b33553b5b0e1a3c79e2ebd743,184.3753,32,3,2,1,1,UNISWAP,,,0
0x026e704e8f1b2f3d9dc69300c4d6f5311a15708b92fa87011fbfad1be27aa480,170,21,1,1,0,0,,,,0
0x8aeaa1bb023b01cc7eed4a94dc55fa13fbb17c93b251fcd49b521ed1bcfb8b07,158.3009,27,2,0,2,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0x46909832db6ca33317c43436c76eef4b654d7f9cbc5e64cf47079aa7ea8be845,156,119,9,0,9,1,UNISWAP,,,0
0xf309cc82b495128de5c69167e111230079c7a29ced40f26e4be9c64acd0b3691,151,171,12,0,12,1,UNISWAP,,,0
0xf3d84d31b319f80ba92e34e67dba207df2f49e01d987d2dd468b5853e0e1e8c7,150,125,8,0,8,1,UNISWAP,,,0
0xebcfe3ff2c22b7edb0007d54434d08946d4a764c64c3691fc4af0f3d9d42bf27,145.14,103,8,0,8,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,-0.1424
0x1f39888ed3924dfa7f4911a83fdec103658494911ab7a6d32d2947fba84a1c3d,129.15,27,2,0,2,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0xfaa8e803ba22f6ef7efdb2eb9307ae8f105d55f15b3e7fb4e9321555be6b4e3f,125,28,2,0,2,1,UNISWAP,,,0
0x8d8be7f01fdb15d87ae7d37af0049d5b488b6dd2c10032425e6ba181493cf7a7,123,162,12,0,12,1,UNISWAP,,,0
0x843e4e606a8324ae2b9b10edce6d3ae65cc632f97363fc62304f8beb754382a8,123,94,9,0,9,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,0.1377
0x2defd141d1935212c5fe97cca2829ee451355419bac65fcb63a8c977885edd3d,123,26,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0xc12bc9df3c58a1096337901bcea9fd1dd81f78dc2878d4ff5797e2179e018487,123,26,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0xc07e37b197138acc576bac6d4faf4ff61b6fd9be22175b32b7aa430db0269758,122.9999,26,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x123d03cef9ccd4230d111d01cf1785aed4242eb2e1e542bd792d025eb7e3cc84,120,28,2,0,2,1,UNISWAP,,,0
0x1672be3a04011d1591d292b374408607f91175e940aff377216cc139e7190246,119,40,1,1,0,0,,,,0
0x93690c02fc4d58734225d898ea4091df104040450c0f204b6bf6f6850ac4602f,118,2806,391,214,177,8,"AAVE,UNISWAP(7)",LIQUIDATION,SUCCESS,0
0xd9306dc8c1230cc0faef22a8442d0994b8fc9a8f4c9faeab94a9a7eac8e59710,118,191,21,0,21,5,"UNISWAP(4),KNOWN_BOT",ARBITRAGE,SUCCESS,0.6266
0x69d1c3d1e38d63155c613d7f37b1ce31f8d0b55ca274b7c05c118771acb5c576,118,29,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x4cf1a912197c2542208f7c1b5624fa5ea75508fa45f41c28f7e6aaa443d14db2,118,73,6,0,6,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0x716f6aac1d1e3b2ed9c441f1b2155a1f3e62220e6061d443fa1ce72626d8587d,118,29,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x243b4b5bf96d345f690f6b17e75031dc634d0e97c47d73cbecf2327250077591,118,172,22,20,2,2,UNISWAP(2),ARBITRAGE,CHECKED,0
0x622519e27d56ea892c6e5e479b68e1eb6278e222ed34d0dc4f8f0fd254723def,118,83,7,0,7,1,UNISWAP,,,0
0x37c13f67588ea55489a30d930e58eefe51d5ef10870261cfa6310a022a6aafba,118,395,77,77,0,0,,,,0
0x03d469e1a158ad50db4a40ad9de04aac86bff629dc88daef2fbda7dc915291c8,118,29,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0xf5f0b7e1c1761eff33956965f90b6d291fa2ff3c9907b450d483a58932c54598,118,43,6,0,6,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0xc0d2b860cd2c9d8c54041e0b732d043287a130e207722e869172374672c5eee1,118,29,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0xba487aa8718493ac2b23569b0330e97b5d0b99da00584ca05910a93506e12deb,118,62,10,0,10,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0x46f4a4d409b44d85e64b1722b8b0f70e9713eb16d2c89da13cffd91486442627,118,252,28,0,28,4,"UNISWAP(2),BALANCER,KNOWN_BOT",ARBITRAGE,SUCCESS,0.0411
0xfd24e512dc90bd1ca8a4f7987be6122c1fa3221b261e8728212f2f4d980ee4cd,118,39,5,0,5,3,"UNISWAP(2),KNOWN_BOT",ARBITRAGE,CHECKED,0
0x9a9316f89986cb54a290f3098f394ad046d80531954c994478799a9dfdba356a,118,33,3,0,3,1,UNISWAP,,,0
0x87bdb70f303b688c6dd87ebe7d5d98efa404f2e08df5d1587cdf54ea57603884,117.25,114,13,8,5,2,UNISWAP(2),,,0
0x9bfddd15e67bb75f287ae62574124b54c49bdc902fe8ae473c837881cd7a0e71,116.25,36,1,1,0,0,,,,0
0x7fa6abb4c9ba3ca02fc3263a1632eb45cc398e954fdd56b72482c7c717ee2f73,101,34,3,0,3,1,UNISWAP,,,0
0x72493a035de37b73d3fcda2aa20852f4196165f3ce593244e51fa8e7c80bc13f,100,114,8,0,8,1,UNISWAP,,,0
0x65342cf2ddeaa15c5578984d56ebb5e1a0f0db8808ec9a095bce70b35c3f5e23,100,90,8,0,8,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,0.3081
0x9ee6e8aba5fef11d30ec5a1fe09e334a378d2964df30f804bbed8fdd5e46509e,100,27,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x00f64cd20b51f1503a8ac8a8f014494d22bfeed22bb32d58f5ec362d3465513d,100,27,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x923db12cb9ff2eba672278315d8d9251b7acda8d3aa5c6832b1b0d757fb06d4e,100,21,1,1,0,0,,,,0
0x934b921dd4166b1f139aa6eb66bd7d8c46be8bd8be36a65e263becb9176e9cb9,99.9999,49,8,6,2,1,UNISWAP,,,0
0xfd352d75691b9eae5cc941061446befaa5177ac29573c25644d19010d3174399,99.9999,27,2,0,2,1,KNOWN_BOT,UNCLASSIFIED_BOT,,0
0x020dc85097e2216ce544b5319ab8dabb47ecf93b2ad2a175c7aa033d5c55475c,99.9999,32,4,4,0,0,,,,0
0xb6bb58f21ac75781252f3434c2d532fab6e2566b4c7f71fbf8446cde716a69b2,96,40,1,1,0,0,,,,0
0xdf5dd9e267b0d94246edf381e8e682ef9963c8ee2414275d25de6b7efc30e37a,89,29,2,0,2,1,SUSHISWAP,,,0
0xe3133c34621bb4377d92e101cfc2795ec4b44264fb9277a1780007cb9124e828,88.5,21,1,1,0,0,,,,0
0x5cea32cd4c5b205fdd4a7708f85f7044127392c2e4352c9f344c40a9c52c3ed4,88.5,21,1,1,0,0,,,,0
0x68bdee6333d3e4179775d5b7277e9cc8c084bd95584fdbc84b262f2c516140d1,84,21,1,1,0,0,,,,0
0x47f7aed0a8ffd6e919c2eaf4caaf0bc83cf462519325cace903ee164b242435c,80,140,8,8,0,0,,,,0
0x402008bab788527ea102580dd8d2ab38046a2e8a9619d95e7b498b088df55fa9,79.5038,119,8,0,8,3,"UNISWAP(2),KNOWN_BOT",UNCLASSIFIED_BOT,SUCCESS,-0.0276
0xea427ab320396157f431bd254e0149d62fe219caeaece8332975801458572d03,78.3972,27,2,0,2,2,"UNISWAP,KNOWN_BOT",UNCLASSIFIED_BOT,CHECKED,0
0x058a0b829692a745666d6f52f7b04cbacea0f2505aeec07f6e7040f5e271e77d,78,56,1,1,0,0,,,,0
0xd1c3a822beeb81b24be67ad0bfaad99acce3e9cb49ef036249e4c80c12641ccd,78,56,1,1,0,0,,,,0
0x08220b432060b424a5a1b4c38112476d52af08a06bab3bdcb1fec425cda8eed0,77.5,21,1,1,0,0,,,,0
0xfd7cd4b0b48408e879eea008e8c13ccc5cb27eb6064d510c35c03b968c2c4ddb,76,104,9,0,9,1,UNISWAP,,,0
0x561d9b93d4bbcb7113708442f4a058f91e7e3d93b79785dd36392c4b3158ffe8,76,216,1,1,0,0,,,,0
0xe15f2b304803321421add4d17c92d3845fc0ae9f567ba6a41c3e5b52547da362,76,117,2,2,0,0,,,,0
0x04287e39a0b647a32d381e0aa3be525b9fc8feae8b87506306ba8449335cb588,76,100,10,0,10,1,UNISWAP,,,0
0x7df3db096bf4b9c43bc4d183c803798ce92f65052d035599b9e3a5d75c577dea,76,221,26,0,26,1,UNISWAP,,,0
0x46d198e6562f3a2c13ae397f0b5782de5cd99e0bf1236527ec69620c9336408e,76,216,1,1,0,0,,,,0
